id,cr,state
779,20000,normal
1527,13300,normal
137,15900,normal
1933,24400,normal
1461,56800,normal
829,104800,normal
201,27000,normal
1044,45100,normal
3422,203800,normal
1796,131000,normal
1778,35100,normal
334,75700,normal
374,61100,normal
959,41600,normal
3453,83000,normal
203,61700,normal
1027,442600,normal
451,171600,normal
1542,51600,normal
207,62700,normal
1729,44500,normal
1399,80700,normal
1378,202000,normal
3389,62100,normal
1539,137900,normal
1722,185000,normal
3431,225100,normal
1384,26900,normal
1426,396800,normal
3434,367000,normal
187,69200,normal
