id,cr,state
779,20000,normal
1527,13300,normal
1523,18800,soldout
810,52100,limited
1385,12000,soldout
829,104800,normal
201,27000,normal
1044,45100,normal
3356,39300,soldout
48,99100,soldout
3454,138400,soldout
3443,169000,soldout
709,51000,soldout
533,495100,soldout
688,57700,limited
203,61700,normal
1027,442600,normal
211,75800,limited
843,113600,limited
773,171200,limited
1729,44500,normal
1399,80700,normal
3359,142500,limited
1402,113900,limited
1539,137900,normal
3358,155400,limited
1504,252200,limited
210,388000,soldout
3398,777000,soldout
3434,367000,normal
3404,437300,soldout
