id,cr,state,daysremaining
3454,150000,limited,2
1527,12900,normal,5
821,54600,limited,3
1778,29700,new,10
3422,202500,normal,8
3356,37900,soldout,1
201,28000,normal,7
1044,43400,new,8
779,17500,soldout,1
829,99900,normal,5
1895,358000,normal,8
1542,50700,normal,4
514,107800,limited,2
3341,164600,limited,2
1370,21500,new,7
1508,172300,normal,4
533,505900,normal,6
688,61500,normal,4
709,52400,soldout,1
24,49900,limited,2
3434,366500,normal,5
1378,200000,new,11
1426,411600,new,6
3398,772000,limited,3
1384,26800,normal,7
1689,115600,soldout,1
1893,258100,normal,4
1722,185700,normal,4
3404,415400,normal,7
210,401300,soldout,1
